,log_no,date,time
0,118596,2009-07-06 01:42:33,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
1,118603,2009-07-06 01:42:33,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
2,118610,2009-07-06 01:42:33,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
3,118617,2009-07-06 01:42:33,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
4,118624,2009-07-06 01:42:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
5,118631,2009-07-06 01:42:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
6,118638,2009-07-06 01:42:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
7,118645,2009-07-06 01:42:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
8,118652,2009-07-06 01:42:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
9,118659,2009-07-06 01:42:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
10,118666,2009-07-06 01:42:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
11,118673,2009-07-06 01:42:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
12,118829,2009-07-06 01:44:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
13,118836,2009-07-06 01:44:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
14,118843,2009-07-06 01:44:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
15,118850,2009-07-06 01:44:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
16,118862,2009-07-06 01:44:34,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
17,118869,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
18,118876,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
19,118883,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
20,118890,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
21,118897,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
22,118904,2009-07-06 01:44:35,chassisd[]: %DAEMON--HSL: Primitive bringup Started Training on TX CBF-chan-tx-
