Distance,Neighbor Value,Count
0,usr sbin cron CRON root CMD newsyslog X,2289
40.29814529,usr sbin cron CRON root CMD adjkerntz a,341
48.63487625,usr sbin cron CRON root CMD usr libexec atrun,8286
63.42869186,chassisd DAEMON jam_plugin_init n_xf n_xf n_tx rx_fill_flag _HEXNUM_ rate_ratio,135
63.42869186,chassisd DAEMON FABRIC PLUGIN MPC INIT jam_mpc_fabric_plugin_init,220
63.42869186,chassisd DAEMON chan_count num_chan,2
63.42869186,chassisd DAEMON jam_plugin_init MPC Fabric Plugin Init,325
63.42869186,chassisd DAEMON jam_plugin_init SCBE Fabric Plugin Init,166
63.42869186,chassisd DAEMON jam_plugin_init SFB Fabric Plugin Init,244
63.42869186,chassisd DAEMON jam_plugin_init SFB Fasic Plugin Init,243
63.42869186,ifinfo USER IFINFO_IFD_NAME IFD descr,1
63.42869186,ifinfo USER IFINFO_IFD_NAME IFD,27558
63.44117737,ifinfo USER IFINFO_IFD_NAME IFD diag,1
72.51997375,chassisd DAEMON XFCHIP Initializing jspec module xfchip_pre_init,1
74.67002869,ifinfo USER IFINFO_IFD_NAME IFD description,1
75.96698761,ifinfo USER IFINFO_IFD_NAME IFD ge,620
76.54895782,ifinfo USER IFINFO_IFD_NAME IFD routing instance,209
76.89492035,ifinfo USER IFINFO_IFD_NAME IFD extensive,179
77.06546783,ifinfo USER IFINFO_IFD_NAME IFD pp,1027
77.1571579,ifinfo USER IFINFO_IFD_NAME IFD descriptions,184
77.805336,ifinfo USER IFINFO_IFD_NAME IFD desc,3
77.85651398,ifinfo USER IFINFO_IFD_NAME IFD terse,571
77.91657257,ifinfo USER IFINFO_IFD_NAME IFD diagnostics,1
78.02849579,rpd DAEMON ted_client reset,109
78.81485748,ifinfo USER IFINFO_IFD_NAME IFD xe,7285
79.36064148,ifinfo USER IFINFO_IFD_NAME IFD ae,1
81.55269623,ifinfo USER IFINFO_IFD_NAME IFD media,26910
81.73652649,chassisd DAEMON CHASSISD_SIGPIPE SIGPIPE received,2
82.02462769,chassisd DAEMON LIBJSNMP_NS_LOG_INFO INFO ns_subagent_open_session NET SNMP version AgentX subagent Open Sent,1
82.67449951,chassisd DAEMON fasic_ic_read_get_chip_type Reading CB IC ID from ideeprom,342
82.80636597,chassisd DAEMON CHASSISD_IFDEV_DETACH_PSEUDO ifdev_detach pseudo devices porttype sdev edev,1
