,Date,Time,Message
1063,2009-05-14,12:24:32,rpd: %DAEMON-#: bgp_pp_recv:####: NOTIFICATION sent to _IP__PORT (proto): code # (Cease) subcode # (Connection Rejected)
1132,2009-05-14,13:11:26,rpd: %DAEMON-#: bgp_pp_recv:####: NOTIFICATION sent to _IP__PORT (proto): code # (Cease) subcode # (Connection Rejected)
1154,2009-05-14,13:26:15,rpd: %DAEMON-#: bgp_pp_recv:####: NOTIFICATION sent to _IP__PORT (proto): code # (Cease) subcode # (Connection Rejected)
1599,2009-05-14,18:47:08,rpd: %DAEMON-#: bgp_pp_recv:####: NOTIFICATION sent to _IP__PORT (proto): code # (Cease) subcode # (Connection Rejected)
1629,2009-05-14,19:11:50,rpd: %DAEMON-#: bgp_pp_recv:####: NOTIFICATION sent to _IP__PORT (proto): code # (Cease) subcode # (Connection Rejected)
4240,2009-05-16,02:47:34,rpd: %DAEMON-#: bgp_pp_recv:####: NOTIFICATION sent to _IP__PORT (proto): code # (Cease) subcode # (Connection Rejected)
4323,2009-05-16,03:46:48,rpd: %DAEMON-#: bgp_pp_recv:####: NOTIFICATION sent to _IP__PORT (proto): code # (Cease) subcode # (Connection Rejected)
4453,2009-05-16,05:35:25,rpd: %DAEMON-#: bgp_pp_recv:####: NOTIFICATION sent to _IP__PORT (proto): code # (Cease) subcode # (Connection Rejected)
4556,2009-05-16,06:59:20,rpd: %DAEMON-#: bgp_pp_recv:####: NOTIFICATION sent to _IP__PORT (proto): code # (Cease) subcode # (Connection Rejected)
4807,2009-05-16,10:02:00,rpd: %DAEMON-#: bgp_pp_recv:####: NOTIFICATION sent to _IP__PORT (proto): code # (Cease) subcode # (Connection Rejected)
