Distance,Neighbor Value,Count
0,usr sbin cron CRON root CMD newsyslog X,2289
2,usr sbin cron CRON root CMD adjkerntz a,341
3,usr sbin cron CRON root CMD usr libexec atrun,8286
3,usr sbin cron CRON root CMD usr sbin check support l,16
10,chassisd DAEMON chan_count num_chan,2
10,ifinfo USER IFINFO_IFD_NAME IFD,27558
10,rpd DAEMON ted_client reset,109
11,chassisd DAEMON CHASSISD_SIGPIPE SIGPIPE received,2
11,ifinfo USER IFINFO_IFD_NAME IFD ae,1
11,ifinfo USER IFINFO_IFD_NAME IFD de,1
11,ifinfo USER IFINFO_IFD_NAME IFD desc,3
11,ifinfo USER IFINFO_IFD_NAME IFD descr,1
11,ifinfo USER IFINFO_IFD_NAME IFD description,1
11,ifinfo USER IFINFO_IFD_NAME IFD descriptions,184
11,ifinfo USER IFINFO_IFD_NAME IFD diag,1
11,ifinfo USER IFINFO_IFD_NAME IFD diagnostics,1
11,ifinfo USER IFINFO_IFD_NAME IFD extensive,179
11,ifinfo USER IFINFO_IFD_NAME IFD ge,620
11,ifinfo USER IFINFO_IFD_NAME IFD lo,181
11,ifinfo USER IFINFO_IFD_NAME IFD media,26910
11,ifinfo USER IFINFO_IFD_NAME IFD pp,1027
11,ifinfo USER IFINFO_IFD_NAME IFD summary,182
11,ifinfo USER IFINFO_IFD_NAME IFD terse,571
11,ifinfo USER IFINFO_IFD_NAME IFD xe,7285
12,chassisd DAEMON CHASSISD_PARSE_COMPLETE Using new configuration,143
12,chassisd DAEMON jam_plugin_init registered coefficeints successfully,82
12,ifinfo USER IFINFO_IFD_NAME IFD routing instance,209
12,rpd DAEMON other_re_command_execute_by_iri other_re re iri,11
13,chassisd DAEMON CHASSISD_SNMP_TRAP ENTITY trap generated entConfigChanged,12
13,chassisd DAEMON FABRIC PLUGIN MPC INIT jam_mpc_fabric_plugin_init,220
13,chassisd DAEMON JAM PL Registered attributes for c,820
13,chassisd DAEMON JAM PL Registered attributes for d,264
13,chassisd DAEMON XFCHIP Hostif registered successfully xfchip_pre_init,3
13,chassisd DAEMON XFCHIP Initializing jspec module xfchip_pre_init,1
13,chassisd DAEMON XFCHIP Jspec registered successfully xfchip_pre_init,2
13,chassisd DAEMON XFCHIP Rcbusif registered successfully xfchip_pre_init,3
13,chassisd DAEMON jam_plugin_init MPC Fabric Plugin Init,325
13,chassisd DAEMON jam_plugin_init SCBE Fabric Plugin Init,166
13,chassisd DAEMON jam_plugin_init SFB Fabric Plugin Init,244
13,chassisd DAEMON jam_plugin_init SFB Fasic Plugin Init,243
13,chassisd DAEMON mpc_coef_setup registering fru_id c speed midplane_version,181
13,chassisd DAEMON mpc_coef_setup registering fru_id d speed midplane_version,173
14,chassisd DAEMON CHASSISD_HOST_TEMP_READ Error reading host temperature sensor,3
14,chassisd DAEMON CHASSISD_RECONNECT_SUCCESSFUL Successfully reconnected on soft restart,1
14,chassisd DAEMON HSL HSL register CBF id _HEXNUM_ cookie _HEXNUM_,2
14,chassisd DAEMON JAM Plugin installed for ferrari_pic_xqsfpp PIC,112
14,chassisd DAEMON JAM Plugin installed for srxk_pic_xge PIC,222
14,chassisd DAEMON JAM Plugin installed for stout_load_mic PIC,115
14,chassisd DAEMON JAM Plugin installed for stout_mic_xge PIC,502
14,chassisd DAEMON JAM Plugin installed for stout_tic_xge PIC,115
14,chassisd DAEMON jam_plugin_init n_xf n_xf n_tx rx_fill_flag _HEXNUM_ rate_ratio,135
14,chassisd DAEMON JAM PL Registered attributes for ccc,112
14,chassisd DAEMON JAM PL Registered attributes for ce,112
14,chassisd DAEMON JAM PL product model identified as,184
14,chassisd DAEMON XFCHIP PCIE handle created successfully xfchip_pre_init,2
14,chassisd DAEMON jam_core_fabric_attrib_set In config_mode returning for _HEXNUM_,1448
14,chassisd DAEMON jam_core_fasic_attrib_set In config_mode returning for _HEXNUM_,1376
15,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE create_pics created interface device for et,4
15,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE create_pics created interface device for xe,8
15,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for gr,8
15,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for ip,8
15,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for lc,4
15,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for lt,8
15,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for mt,8
15,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for pd,8
