Distance,Neighbor Value,Count
0,usr sbin cron CRON root CMD newsyslog X,2289
0.332357973,usr sbin cron CRON root CMD usr libexec atrun,8286
0.625107467,usr sbin cron CRON root CMD adjkerntz a,341
0.716199994,usr sbin cron CRON root CMD usr sbin check support l,16
1.244426608,ifinfo USER IFINFO_IFD_NAME IFD diag,1
1.261250734,ifinfo USER IFINFO_IFD_NAME IFD routing instance,209
1.262543559,chassisd DAEMON XFCHIP Initializing jspec module xfchip_pre_init,1
1.269762635,chassisd DAEMON JAM PL Completed plugin init for jam mpcfor chassisd,114
1.309425712,rpd DAEMON mchassis_re_command_execute_status_by_iri hostname re iri cmdbuf mv f mfs var tmp tag_restart db mfs var db tag_restart db,11
1.321154118,chassisd DAEMON CHASSISD_SNMP_TRAP SNMP trap generated FRU insertion jnxFruContentsIndex jnxFruLIndex jnxFruLIndex jnxFruLIndex jnxFruName FPC MPCE D Q CGE XGE jnxFruType jnxFruSlot,2
1.329353213,chassisd DAEMON CHASSISD_IFDEV_DETACH_PSEUDO ifdev_detach pseudo devices porttype sdev edev,1
1.343725801,rpd DAEMON bgp_pp_recv dropping _IP__PORT External AS connection collision prefers _IP__PORT proto,46
1.346279621,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for vt,8
1.347097039,chassisd DAEMON CHASSISD_SNMP_TRAP SNMP trap generated redundancy switchover jnxRedundancyContentsIndex jnxRedundancyLIndex jnxRedundancyLIndex jnxRedundancyLIndex jnxRedundancyDescr Routing Engine jnxRedundancyConfig jnxRedundancyState jnxRedundancySwitchoverCount jnxRedundancySwitchoverTime jnxRedundancySwitchoverReason,1
1.352383018,chassisd DAEMON CHASSISD_PARSE_COMPLETE Using new configuration,143
1.35459733,chassisd DAEMON XFCHIP Hostif pcie endpoint configured successfully during reconnect xfchip_pre_init,3
1.360127211,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for pfe,4
1.360501289,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for ip,8
