Distance,Neighbor Value,Count
0,usr sbin cron CRON root CMD newsyslog X,2289
6.009678841,usr sbin cron CRON root CMD usr libexec atrun,8286
6.242883682,usr sbin cron CRON root CMD adjkerntz a,341
8.18515873,ifinfo USER IFINFO_IFD_NAME IFD diag,1
8.255915642,chassisd DAEMON jam_plugin_init n_xf n_xf n_tx rx_fill_flag _HEXNUM_ rate_ratio,135
8.255915642,chassisd DAEMON FABRIC PLUGIN MPC INIT jam_mpc_fabric_plugin_init,220
8.255915642,chassisd DAEMON chan_count num_chan,2
8.255915642,chassisd DAEMON jam_plugin_init MPC Fabric Plugin Init,325
8.255915642,chassisd DAEMON jam_plugin_init SCBE Fabric Plugin Init,166
8.255915642,chassisd DAEMON jam_plugin_init SFB Fabric Plugin Init,244
8.255915642,chassisd DAEMON jam_plugin_init SFB Fasic Plugin Init,243
8.255915642,ifinfo USER IFINFO_IFD_NAME IFD descr,1
8.255915642,ifinfo USER IFINFO_IFD_NAME IFD,27558
9.103334427,chassisd DAEMON XFCHIP Initializing jspec module xfchip_pre_init,1
9.31576252,ifinfo USER IFINFO_IFD_NAME IFD description,1
9.49971199,ifinfo USER IFINFO_IFD_NAME IFD pp,1027
9.554562569,ifinfo USER IFINFO_IFD_NAME IFD diagnostics,1
9.617321014,ifinfo USER IFINFO_IFD_NAME IFD descriptions,184
9.628767967,ifinfo USER IFINFO_IFD_NAME IFD ge,620
9.659346581,ifinfo USER IFINFO_IFD_NAME IFD routing instance,209
9.670372963,ifinfo USER IFINFO_IFD_NAME IFD desc,3
9.735203743,ifinfo USER IFINFO_IFD_NAME IFD extensive,179
9.743860245,ifinfo USER IFINFO_IFD_NAME IFD terse,571
9.784562111,ifinfo USER IFINFO_IFD_NAME IFD xe,7285
9.93268013,ifinfo USER IFINFO_IFD_NAME IFD ae,1
10.10125351,ifinfo USER IFINFO_IFD_NAME IFD media,26910
10.11331367,rpd DAEMON ted_client reset,109
10.21677494,ifinfo USER IFINFO_IFD_NAME IFD summary,182
10.34299088,chassisd DAEMON LIBJSNMP_NS_LOG_INFO INFO ns_subagent_open_session NET SNMP version AgentX subagent Open Sent,1
10.5169363,chassisd DAEMON fasic_ic_read_get_chip_type Reading CB IC ID from ideeprom,342
10.56438541,chassisd DAEMON CHASSISD_SIGPIPE SIGPIPE received,2
10.60182667,ifinfo USER IFINFO_IFD_NAME IFD lo,181
10.66842461,chassisd DAEMON CHASSISD_IFDEV_DETACH_PSEUDO ifdev_detach pseudo devices porttype sdev edev,1
11.27527142,chassisd DAEMON CHASSISD_SNMP_TRAP ENTITY trap generated entConfigChanged,12
11.27527142,chassisd DAEMON CHASSISD_SNMP_TRAP ENTITY trap generated entStateOperDisabled entPhysicalIndex entStateAdmin entStateAlarm,4
11.27527142,chassisd DAEMON CHASSISD_SNMP_TRAP ENTITY trap generated entStateOperEnabled entPhysicalIndex entStateAdmin entStateAlarm,30
