date,time,software/module,type_log,Interface_Descriptor,type
14-05-2009,00:05:21,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:05:22,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,00:10:27,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:10:28,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,00:14:36,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:14:36,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,00:20:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:20:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,00:24:59,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:25:00,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,00:30:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:30:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,00:35:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:35:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,00:40:20,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:40:21,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,00:45:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:45:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,00:50:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:50:12,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,00:55:25,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,00:55:25,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,01:00:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,01:00:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,01:05:22,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,01:05:22,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,01:10:28,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,01:10:28,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
