Distance,Neighbor Value,1
0.0,usr sbin cron CRON root CMD newsyslog X,2289
0.3323579728603363,usr sbin cron CRON root CMD usr libexec atrun,8286
0.62510746717453,usr sbin cron CRON root CMD adjkerntz a,341
0.7161999940872192,usr sbin cron CRON root CMD usr sbin check support l,16
1.2444266080856323,ifinfo USER IFINFO_IFD_NAME IFD diag,1
1.2612507343292236,ifinfo USER IFINFO_IFD_NAME IFD routing instance,209
1.2625435590744019,chassisd DAEMON XFCHIP Initializing jspec module xfchip_pre_init,1
1.269762635231018,chassisd DAEMON JAM PL Completed plugin init for jam mpcfor chassisd,114
1.309425711631775,rpd DAEMON mchassis_re_command_execute_status_by_iri hostname re iri cmdbuf mv f mfs var tmp tag_restart db mfs var db tag_restart db,11
1.3211541175842285,chassisd DAEMON CHASSISD_SNMP_TRAP SNMP trap generated FRU insertion jnxFruContentsIndex jnxFruLIndex jnxFruLIndex jnxFruLIndex jnxFruName FPC MPCE D Q CGE XGE jnxFruType jnxFruSlot,2
1.3293532133102417,chassisd DAEMON CHASSISD_IFDEV_DETACH_PSEUDO ifdev_detach pseudo devices porttype sdev edev,1
1.3437258005142212,rpd DAEMON bgp_pp_recv dropping _IP__PORT External AS connection collision prefers _IP__PORT proto,46
1.3462796211242676,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for vt,8
1.3470970392227173,chassisd DAEMON CHASSISD_SNMP_TRAP SNMP trap generated redundancy switchover jnxRedundancyContentsIndex jnxRedundancyLIndex jnxRedundancyLIndex jnxRedundancyLIndex jnxRedundancyDescr Routing Engine jnxRedundancyConfig jnxRedundancyState jnxRedundancySwitchoverCount jnxRedundancySwitchoverTime jnxRedundancySwitchoverReason,1
1.352383017539978,chassisd DAEMON CHASSISD_PARSE_COMPLETE Using new configuration,143
1.3545973300933838,chassisd DAEMON XFCHIP Hostif pcie endpoint configured successfully during reconnect xfchip_pre_init,3
1.3601272106170654,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for pfe,4
1.3605012893676758,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for ip,8
1.3609122037887573,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for mt,8
1.3624765872955322,ifinfo USER IFINFO_IFD_NAME IFD pp,1027
1.3630393743515015,chassisd DAEMON JAM PL Completed plugin init for jam mpc for chassisd,103
1.3633508682250977,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for lc,4
1.3667793273925781,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for lt,8
1.3693909645080566,chassisd DAEMON JAM PL Completed plugin init for jam mpc e e ng for chassisd,138
1.371535062789917,chassisd DAEMON JAM PL Registered attributes for d,264
1.3725405931472778,chassisd DAEMON CHASSISD_SNMP_TRAP SNMP trap generated FRU removal jnxFruContentsIndex jnxFruLIndex jnxFruLIndex jnxFruLIndex jnxFruName Routing Engine jnxFruType jnxFruSlot,1
1.374172329902649,rpd DAEMON bgp_pp_recv NOTIFICATION sent to _IP__PORT proto code Cease subcode Connection Collision Resolution Reason dropping _IP__PORT proto connection collision prefers _IP__PORT External AS,6
1.374172329902649,rpd DAEMON bgp_pp_recv NOTIFICATION sent to _IP__PORT proto code Cease subcode Connection Collision Resolution Reason dropping _IP__PORT proto connection collision prefers _IP__PORT Internal AS,8
1.3745477199554443,chassisd DAEMON HSL HSL register CBF id _HEXNUM_ cookie _HEXNUM_,2
1.374839186668396,chassisd DAEMON HSL Register channel map src dst Primitive flag _HEXNUM_ _HEXNUM_ _HEXNUM_,70
1.3750944137573242,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for ut,8
1.3756588697433472,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for pd,8
1.3759218454360962,ifinfo USER IFINFO_IFD_NAME IFD diagnostics,1
1.3761746883392334,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for gr,8
1.3823001384735107,chassisd DAEMON LIBJSNMP_NS_LOG_ERR ERR snmpd send_trap Failure in sendto Broken pipe,3
1.3840886354446411,ifinfo USER IFINFO_IFD_NAME IFD description,1
1.3841344118118286,rpd DAEMON bgp_handle_notify NOTIFICATION received from _IP__PORT External AS code Open Message Error subcode authentication failure,229
1.3847113847732544,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE fpc_create_devs_from_queue created interface device for pfh,2
1.3864785432815552,chassisd DAEMON CHASSISD_SNMP_TRAP SNMP trap generated FRU power on jnxFruContentsIndex jnxFruLIndex jnxFruLIndex jnxFruLIndex jnxFruName MIC D x GE XFP jnxFruType jnxFruSlot jnxFruOfflineReason jnxFruLastPowerOff jnxFruLastPowerOn,2
1.3864785432815552,chassisd DAEMON CHASSISD_SNMP_TRAP SNMP trap generated FRU power on jnxFruContentsIndex jnxFruLIndex jnxFruLIndex jnxFruLIndex jnxFruName MIC D x GE LAN E SFP jnxFruType jnxFruSlot jnxFruOfflineReason jnxFruLastPowerOff jnxFruLastPowerOn,3
1.3871135711669922,rpd DAEMON bgp_pp_recv NOTIFICATION sent to _IP__PORT External AS code Cease subcode Connection Collision Resolution Reason dropping _IP__PORT External AS connection collision prefers _IP__PORT proto,46
1.3879767656326294,chassisd DAEMON CHASSISD_HOST_TEMP_READ Error reading host temperature sensor,3
