,log_no,date,time
0,11280,2009-05-19 14:53:00,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
1,11284,2009-05-19 14:53:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
2,11292,2009-05-19 14:53:21,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
3,11294,2009-05-19 14:53:25,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
4,11296,2009-05-19 14:53:29,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
5,11304,2009-05-19 14:53:45,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
6,11306,2009-05-19 14:53:49,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
7,11308,2009-05-19 14:53:54,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
8,11317,2009-05-19 14:54:14,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
9,11319,2009-05-19 14:54:18,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
10,11321,2009-05-19 14:54:22,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
11,11354,2009-05-19 15:19:29,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
12,11356,2009-05-19 15:19:33,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
13,11364,2009-05-19 15:19:49,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
14,11366,2009-05-19 15:19:53,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
15,11368,2009-05-19 15:19:58,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
16,11377,2009-05-19 15:20:11,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
17,11381,2009-05-19 15:20:15,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
18,11389,2009-05-19 15:20:32,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
19,11391,2009-05-19 15:20:36,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
20,11393,2009-05-19 15:20:41,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
21,24145,2009-05-19 14:53:04,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
22,24147,2009-05-19 14:53:08,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
23,24149,2009-05-19 14:53:12,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
24,24157,2009-05-19 14:53:29,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
25,24159,2009-05-19 14:53:33,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
26,24161,2009-05-19 14:53:37,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
27,24169,2009-05-19 14:53:54,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
28,24171,2009-05-19 14:53:58,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
29,24173,2009-05-19 14:54:02,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
30,24180,2009-05-19 14:54:18,ifinfo: %USER--IFINFO_IFD_NAME: IFD: routing-instance
