,log_no,date,time
0,6029,2009-05-17 00:02:12,rpd: %DAEMON-: ted_client reset
1,7563,2009-05-17 18:09:57,rpd: %DAEMON-: ted_client reset
2,9537,2009-05-18 18:06:07,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
3,10842,2009-05-19 09:41:36,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
4,18890,2009-05-17 00:02:12,rpd: %DAEMON-: ted_client reset
5,20424,2009-05-17 18:09:57,rpd: %DAEMON-: ted_client reset
6,22398,2009-05-18 18:06:07,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
7,23703,2009-05-19 09:41:36,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
8,26243,2009-05-20 15:42:25,rpd: %DAEMON-: ted_client reset
9,32251,2009-05-23 15:12:49,rpd: %DAEMON-: ted_client reset
10,34100,2009-05-24 14:10:54,rpd: %DAEMON-: ted_client reset
11,34677,2009-05-24 20:18:04,rpd: %DAEMON-: ted_client reset
12,34803,2009-05-24 20:58:59,rpd: %DAEMON-: ted_client reset
13,35765,2009-05-25 09:52:30,rpd: %DAEMON-: ted_client reset
14,35768,2009-05-25 09:54:50,rpd: %DAEMON-: ted_client reset
15,36075,2009-05-25 13:01:20,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
16,40126,2009-05-27 12:57:23,rpd: %DAEMON-: ted_client reset
17,40444,2009-05-27 15:28:06,rpd: %DAEMON-: ted_client reset
18,43405,2009-05-30 12:55:19,rpd: %DAEMON-: ted_client reset
19,44055,2009-05-30 19:27:56,rpd: %DAEMON-: ted_client reset
20,44124,2009-05-30 19:43:02,rpd: %DAEMON-: ted_client reset
21,44181,2009-05-30 19:46:52,rpd: %DAEMON-: ted_client reset
22,44258,2009-05-30 19:50:13,rpd: %DAEMON-: ted_client reset
23,45537,2009-05-31 10:02:12,rpd: %DAEMON-: ted_client reset
24,45627,2009-05-31 11:03:08,rpd: %DAEMON-: bgp_recv: peer _IP__PORT (proto): received unexpected EOF
25,45721,2009-05-31 11:21:23,rpd: %DAEMON-: ted_client reset
26,45806,2009-05-31 12:03:07,rpd: %DAEMON-: ted_client reset
27,46437,2009-05-31 17:57:18,rpd: %DAEMON-: ted_client reset
28,46613,2009-05-31 19:27:47,rpd: %DAEMON-: ted_client reset
29,46889,2009-05-31 21:37:05,rpd: %DAEMON-: ted_client reset
30,47915,2009-06-01 10:08:26,rpd: %DAEMON-: ted_client reset
31,51900,2009-06-03 09:45:09,rpd: %DAEMON-: ted_client reset
32,51903,2009-06-03 09:45:09,rpd: %DAEMON-: ted_client reset
33,52907,2009-06-03 21:44:47,rpd: %DAEMON-: ted_client reset
34,57952,2009-06-06 10:23:29,rpd: %DAEMON-: ted_client reset
35,58024,2009-06-06 10:24:19,rpd: %DAEMON-: ted_client reset
36,58097,2009-06-06 10:25:11,rpd: %DAEMON-: ted_client reset
37,58170,2009-06-06 10:26:04,rpd: %DAEMON-: ted_client reset
38,58228,2009-06-06 10:26:57,rpd: %DAEMON-: ted_client reset
39,58296,2009-06-06 10:27:50,rpd: %DAEMON-: ted_client reset
40,58372,2009-06-06 10:28:42,rpd: %DAEMON-: ted_client reset
41,58444,2009-06-06 10:29:32,rpd: %DAEMON-: ted_client reset
42,58448,2009-06-06 10:30:21,rpd: %DAEMON-: ted_client reset
43,58502,2009-06-06 10:31:13,rpd: %DAEMON-: ted_client reset
44,58506,"""2009-06-06 10:31:25","rpd: %DAEMON-: other_re_command_execute_by_iri:{other_re='re',iri=}"""
45,58508,"""2009-06-06 10:31:25","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
46,58546,2009-06-06 10:32:14,rpd: %DAEMON-: ted_client reset
47,58548,"""2009-06-06 10:32:26","rpd: %DAEMON-: other_re_command_execute_by_iri:{other_re='re',iri=}"""
48,58550,"""2009-06-06 10:32:26","rpd: %DAEMON-: mchassis_re_command_execute_status_by_iri:{hostname='re',net='AF_TNP'} rcmd_rt with RT_TABLE_DEFAULT iri table"""
49,58592,2009-06-06 10:33:02,rpd: %DAEMON-: ted_client reset
50,58634,2009-06-06 10:33:52,rpd: %DAEMON-: ted_client reset
51,58691,2009-06-06 10:34:42,rpd: %DAEMON-: ted_client reset
52,58764,2009-06-06 10:35:31,rpd: %DAEMON-: ted_client reset
53,58790,2009-06-06 10:36:20,rpd: %DAEMON-: ted_client reset
54,58860,2009-06-06 10:37:08,rpd: %DAEMON-: ted_client reset
55,58935,2009-06-06 10:37:57,rpd: %DAEMON-: ted_client reset
