Date,Time,Software/Module,User,Type_Log,Interface_Description,Data
2009-05-14,00:05:21,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:05:22,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,00:10:27,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:10:28,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,00:14:36,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:14:36,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,00:20:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:20:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,00:24:59,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:25:00,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,00:30:03,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:30:03,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,00:35:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:35:11,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,00:40:20,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:40:21,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,00:45:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:45:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,00:50:11,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:50:12,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,00:55:25,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,00:55:25,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:00:03,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:00:03,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:05:22,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:05:22,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:10:28,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:10:28,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:15:02,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:15:02,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:20:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:20:10,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:25:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:25:10,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:30:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:30:11,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:35:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:35:10,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:40:32,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:40:32,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:45:25,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:45:25,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:50:03,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:50:03,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,01:55:16,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,01:55:17,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:00:03,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:00:03,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:05:33,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:05:33,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:10:15,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:10:15,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:15:24,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:15:25,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:20:09,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:20:09,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:25:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:25:05,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:30:05,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:30:05,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:35:01,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:35:01,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:40:14,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:40:15,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:45:32,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:45:32,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:50:02,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:50:02,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,02:57:42,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,02:57:42,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:00:09,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:00:10,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:05:04,ifinfo,#,IFINFO_IFD_NAME,IFD,ge-##/#/#
2009-05-14,03:05:04,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,03:05:05,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,03:05:05,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,03:05:05,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,03:05:06,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,03:05:06,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,03:05:07,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,03:05:07,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,03:05:07,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,03:05:08,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,03:05:08,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,03:05:09,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,03:05:18,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:05:18,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:10:15,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:10:15,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:15:01,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:15:01,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:20:03,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:20:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:25:41,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:25:41,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:30:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:30:05,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:35:33,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:35:33,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:40:15,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:40:15,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:45:17,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:45:18,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,03:50:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,03:50:11,ifinfo,#,IFINFO_IFD_NAME,IFD,|
